MARCA,MODELO,CILINDRADA,AÑO
HYUNDAI,SON,,
KIA,RIO,,2003
KIA,RIO,,2005
HYUNDAI,I10,,2015
HYUNDAI,I10,,2018
KIA,CARENS,,2007
KIA,CARENS,,2013
SSANGYONG,ACTYON,,2007
SSANGYONG,ACTYON,,2011
SSANGYONG,ACTYON,,2007
SSANGYONG,ACTYON,,2011
MITSUBISHI,LANCER,1.5,1998
MITSUBISHI,LANCER,1.5,2087
MITSUBISHI,LANCER,1.3,1990
MITSUBISHI,LANCER,1.3,1991
HYUNDAI,EON,,2013
MITSUBISHI,LANCER,,2008
HYUNDAI,SONATA,,2003
HYUNDAI,SONATA,,2005
HYUNDAI,ELANTRA,,2014
HYUNDAI,ELANTRA,,2016
SSANGYONG,ACTYON,,2012
HYUNDAI,TERRACAN,2.9,
KIA,SPORTAGE,,2011
SSANGYONG,ACTYON,,2012
