MARCA,modelo_base_corregido,version_corregida,cilindrada,AÑO_FAB
HYUNDAI,GRAND I10,BA PE 1,,2020
SSANGYONG,MUSSO,GRAND,2.2,2020
FORD,EXPLORER,XLT,3.5,2020
KIA,SOLUTO,LX,1.4,2020
RENAULT,OROCH,,1.6,2020
MITSUBISHI,L200,WORK CR WF,2.4,2020
HYUNDAI,CRETA,GS PE,1.6,2020
MG,ZS,,1.5,2020
SSANGYONG,TIVOLI,,1.6,2019
CHEVROLET,SAIL,,1.5,2020
MG,3,,1.5,2020
JEEP,CHEROKEE,LONGITUDE F,,2020
DS,3,CROSSBACK HDI 100,,2020
MG,3,,1.5,2020
BMW,118D,,2.0,2020
CHEVROLET,COLORADO,DCAB 2,,2020
MAZDA,3,,2.0,2020
CHEVROLET,SAIL,,1.5,2020
HYUNDAI,TUCSON,TL,2.0,2020
CHEVROLET,SAIL,,1.5,2020
CHEVROLET,SAIL,,1.5,2020
HYUNDAI,PORTER,II DOHC,2.5,2020
MG,ZS,,1.5,2020
MG,ZS,,1.5,2020
VOLKSWAGEN,SAVEIRO,D CAB,1.6,2020
NISSAN,PATHFINDER,A,3.5,2020
NISSAN,NAVARA,DCAB 4X,,2020
BMW,X4,XDRIVE 20I 2,,2020
MITSUBISHI,L200,KATANA CRT,,2020
MITSUBISHI,L200,KATANA CRT,,2020
MG,3,,1.5,2020
SSANGYONG,MUSSO,GRAND,2.2,2020
CHEVROLET,SAIL,,1.5,2020
CHEVROLET,SPARK,GT DOHC,1.2,2020
SUBARU,FORESTER,,2.0,2020
SUZUKI,BALENO,GLS,1.4,2020
SUZUKI,SCROSS,II GLX,1.6,2020
JAC,NEW REFINE,M4,2.0,2020
JAC,S3,CE,1.6,2020
GREAT WALL,3,SR,2.0,2020
GREAT WALL,3,LE,2.0,2020
FIAT,UNO,WAY EVO,1.4,2020
SSANGYONG,MUSSO,GRAND,2.2,2020
SUZUKI,DZIRE,GL SPORT,1.2,2020
MAZDA,3,,2.0,2020
HYUNDAI,GRAND I10,BA GLS,,2020
HYUNDAI,TUCSON,TL,2.0,2020
NISSAN,X-TRAIL,,2.5,2020
