ID_MODELO,ID_MARCA,MODELO
1,1,COROLLA
2,2,N300
3,3,TIIDA
4,3,NAVARA
5,4,ACCENT
6,5,RIO
7,4,I10
8,5,MORNING
9,4,SONATA
10,4,TUCSON
11,4,SANTA
12,4,GENESIS
13,5,CARNIVAL
14,5,SORENTO
15,5,SPORTAGE
16,2,SPARK
17,6,BALENO
18,2,SAIL
19,4,GRAND
20,1,RAV4
21,5,CARENS
22,7,NEW
23,2,ASTRA
24,2,AVEO
25,2,CAPTIVA
26,2,COMBO
27,2,CORSA
28,2,EPICA
29,2,MONTANA
30,2,OPTRA
31,2,VECTRA
32,2,ZAFIRA
33,8,ESPERO
34,8,HEAVEN
35,8,LANOS
36,8,RACER
37,4,ELANTRA
38,4,EXCEL
39,4,GETZ
40,9,ASTRA
41,9,COMBO
42,9,CORSA
43,9,VECTRA
44,9,ZAFIRA
45,4,SON
46,7,ACTYON
47,10,LANCER
48,4,EON
49,4,TERRACAN
50,7,MUSSO
51,11,EXPLORER
52,5,SOLUTO
53,12,OROCH
54,10,L200
55,4,CRETA
56,13,ZS
57,7,TIVOLI
58,13,3
59,14,CHEROKEE
60,15,3
61,16,118D
62,2,COLORADO
63,17,3
64,4,PORTER
65,18,SAVEIRO
66,3,PATHFINDER
67,16,X4
68,19,FORESTER
69,6,SCROSS
70,20,NEW
71,20,S3
72,21,3
73,22,UNO
74,6,DZIRE
75,3,X-TRAIL
